Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
08:30,,,Wendell Moore,Michael Devoe,N/A, Michael Devoe personal foul (Wendell Moore Jr. draws the foul)
08:27,,,Matthew Hurt,N/A,N/A,Matthew Hurt offensive foul 
08:27,,turnover,Matthew Hurt,N/A,N/A,Matthew Hurt turnover 
08:09,,,Michael Devoe,N/A,N/A, Michael Devoe misses two point jump shot
08:07,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
08:03,52-58,,Moses Wright,N/A,N/A, Moses Wright makes two point putback layup
07:47,,,Jeremy Roach,Bubba Parham,N/A, Bubba Parham personal foul (Jeremy Roach draws the foul)
07:47,,timeout,N/A,N/A,N/A,TV timeout 
07:34,,block,Wendell Moore,Moses Wright,N/A,Moses Wright blocks Wendell Moore Jr.'s two point layup 
07:32,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. offensive rebound 
07:26,54-58,,Wendell Moore,N/A,N/A,Wendell Moore Jr. makes two point putback layup 
07:12,,,Michael Devoe,N/A,N/A, Michael Devoe misses three point jump shot
07:10,,,N/A,N/A,N/A, Yellow Jackets offensive rebound
07:10,,,Jeremy Roach,N/A,N/A,Jeremy Roach personal foul 
06:55,,,Moses Wright,N/A,N/A, Moses Wright misses two point jump shot
06:53,,,Bubba Parham,N/A,N/A, Bubba Parham offensive rebound
06:43,,,Bubba Parham,N/A,N/A, Bubba Parham misses two point tip shot
06:41,,,Jordan Goldwire,N/A,N/A,Jordan Goldwire defensive rebound 
06:31,,steal,Mark Williams,Michael Devoe,N/A,Mark Williams turnover (bad pass) (Michael Devoe steals) 
06:24,,,Khalid Moore,N/A,N/A, Khalid Moore misses two point jump shot
06:22,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. defensive rebound 
06:22,,,N/A,N/A,N/A,Jump ball.  (Blue Devils gains possession) 
06:14,,,Matthew Hurt,N/A,N/A,Matthew Hurt offensive foul 
06:14,,turnover,Matthew Hurt,N/A,N/A,Matthew Hurt turnover 
06:00,,,Jordan Goldwire,Khalid Moore,N/A,Jordan Goldwire personal foul (Khalid Moore draws the foul) 
06:00,54-59,,Khalid Moore,N/A,N/A, Khalid Moore makes regular free throw 1 of 2
06:00,54-60,,Khalid Moore,N/A,N/A, Khalid Moore makes regular free throw 2 of 2
05:32,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. misses two point jump shot 
05:30,,,Jose Alvarado,N/A,N/A, Jose Alvarado defensive rebound
05:23,54-62,,Moses Wright,Michael Devoe,N/A, Moses Wright makes two point dunk (Michael Devoe assists)
05:17,,,Mark Williams,Moses Wright,N/A, Moses Wright personal foul (Mark Williams draws the foul)
05:15,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. misses two point jump shot 
05:13,,,DJ Steward,N/A,N/A,DJ Steward offensive rebound 
05:07,56-62,,DJ Steward,N/A,N/A,DJ Steward makes two point floating jump shot 
04:47,56-64,,Khalid Moore,N/A,N/A, Khalid Moore makes two point floating jump shot
04:23,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. misses two point layup 
04:23,,,Mark Williams,N/A,N/A,Mark Williams offensive rebound 
04:23,,,Mark Williams,Khalid Moore,N/A, Khalid Moore personal foul (Mark Williams draws the foul)
04:23,,,Mark Williams,N/A,N/A,Mark Williams misses regular free throw 1 of 2 
04:23,,,N/A,N/A,N/A,Blue Devils rebound (deadball) 
04:23,,,Mark Williams,N/A,N/A,Mark Williams misses regular free throw 2 of 2 
04:23,,,Michael Devoe,N/A,N/A, Michael Devoe defensive rebound
